temp,rate,strain,stress
900,0.037,0.04332,29.9286
900,0.037,0.05797,36.31
900,0.037,0.07275,42.2639
900,0.037,0.08754,47.8172
900,0.037,0.10228,53.0169
900,0.037,0.11696,57.9044
900,0.037,0.13159,62.4948
900,0.037,0.14619,66.7772
900,0.037,0.16075,70.7271
900,0.037,0.17526,74.3158
900,0.037,0.1897,77.5121
900,0.037,0.20407,80.2779
900,0.037,0.2184,82.5673
900,0.037,0.23276,84.3311
900,0.037,0.24726,85.53
900,0.037,0.26212,86.1499
900,0.037,0.27766,86.2142
900,0.037,0.29431,85.7879
900,0.037,0.31268,84.9709
900,0.037,0.3335,83.8833
900,0.037,0.35759,82.6468
900,0.037,0.3859,81.3675
900,0.037,0.41932,80.1257
900,0.037,0.45868,78.9731
900,0.037,0.50462,77.9374
900,0.037,0.55749,77.0311
900,0.037,0.61727,76.2599
900,0.037,0.68361,75.6286
900,0.037,0.75574,75.1422
900,0.037,0.83263,74.8039
900,0.037,0.91304,74.6104
900,0.037,0.99564,74.5489
900,0.037,1.07916,74.5954
900,0.037,1.16245,74.7166
900,0.037,1.2446,74.8743
900,0.037,1.32492,75.0302
900,0.037,1.40301,75.1515
900,0.037,1.47874,75.2143
900,0.037,1.55217,75.2055
800,0.037,0.05286,52.6607
800,0.037,0.06719,57.7472
800,0.037,0.08327,63.2891
800,0.037,0.10199,68.9759
800,0.037,0.12392,74.7153
800,0.037,0.14923,80.4559
800,0.037,0.17788,86.1098
800,0.037,0.20993,91.5484
800,0.037,0.24587,96.6192
800,0.037,0.28688,101.157
800,0.037,0.33475,104.995
800,0.037,0.39163,107.981
800,0.037,0.45954,110.006
800,0.037,0.53984,111.035
800,0.037,0.63284,111.125
800,0.037,0.73764,110.426
800,0.037,0.85227,109.154
800,0.037,0.97394,107.552
800,0.037,1.09953,105.854
800,0.037,1.22598,104.245
800,0.037,1.3506,102.844
800,0.037,1.47132,101.707
800,0.037,1.58668,100.834
1000,0.037,0.02844,23.9675
1000,0.037,0.05763,31.9275
1000,0.037,0.08702,37.5856
1000,0.037,0.11641,41.7209
1000,0.037,0.14581,44.8624
1000,0.037,0.17528,47.3293
1000,0.037,0.20497,49.2678
1000,0.037,0.23522,50.7261
1000,0.037,0.26674,51.7297
1000,0.037,0.30073,52.3263
1000,0.037,0.33896,52.5969
1000,0.037,0.38364,52.6435
1000,0.037,0.43718,52.569
1000,0.037,0.50181,52.461
1000,0.037,0.5792,52.3853
1000,0.037,0.67009,52.3851
1000,0.037,0.77408,52.4828
1000,0.037,0.88959,52.6822
1000,0.037,1.01411,52.9709
1000,0.037,1.14449,53.3236
1000,0.037,1.27744,53.7069
1000,0.037,1.40984,54.0851
1000,0.172,0.06291,52.3892
1000,0.172,0.10745,64.4254
1000,0.172,0.14929,67.1609
1000,0.172,0.20547,70.1629
1000,0.172,0.29604,72.5853
1000,0.172,0.37584,73.5395
1000,0.172,0.45142,73.2742
1000,0.172,0.54475,72.1465
1000,0.172,0.62746,72.1553
1000,0.172,0.71245,71.5023
1000,0.172,0.82611,70.8261
1000,0.172,0.92541,70.4136
1000,0.172,1.03935,69.7949
1000,0.172,1.1414,69.5322
1000,0.172,1.25509,68.9352
1000,0.172,1.35241,68.7193
1000,0.172,1.46274,67.9827
1000,2.6,0.061245,43.4616
1000,2.6,0.18553,79.1722
1000,2.6,0.25417,91.5029
1000,2.6,0.31801,102.373
1000,2.6,0.38124,108.127
1000,2.6,0.45963,113.954
1000,2.6,0.52147,115.763
1000,2.6,0.61342,117.666
1000,2.6,0.72366,116.856
1000,2.6,0.84124,115.83
1000,2.6,0.97047,114.295
1000,2.6,1.07124,113.202
1000,2.6,1.16893,111.826
1000,2.6,1.26457,111.046
1000,2.6,1.37157,110.397
1000,2.6,1.47251,110.204
1000,2.6,1.57178,110.172
1100,0.037,0.03076,31.9287
1100,0.037,0.0603,34.3478
1100,0.037,0.08974,36.6217
1100,0.037,0.12016,38.5943
1100,0.037,0.15309,40.0229
1100,0.037,0.19049,40.753
1100,0.037,0.23414,40.7829
1100,0.037,0.28502,40.2481
1100,0.037,0.34314,39.3609
1100,0.037,0.40778,38.3429
1100,0.037,0.4782,37.3757
1100,0.037,0.55426,36.5766
1100,0.037,0.63689,35.9981
1100,0.037,0.7281,35.6406
1100,0.037,0.83054,35.4718
1100,0.037,0.9467,35.4442
1100,0.037,1.07804,35.5079
1100,0.037,1.22437,35.6186
1100,0.037,1.38361,35.7409
1100,0.037,1.55205,35.8489
1100,0.172,0.04795,43.2644
1100,0.172,0.09754,44.6015
1100,0.172,0.14739,46.7529
1100,0.172,0.19662,49.7239
1100,0.172,0.24489,53.125
1100,0.172,0.2923,56.4854
1100,0.172,0.33937,59.3107
1100,0.172,0.38719,61.1923
1100,0.172,0.43743,61.9335
1100,0.172,0.49223,61.6049
1100,0.172,0.55386,60.496
1100,0.172,0.62439,58.9979
1100,0.172,0.7054,57.4813
1100,0.172,0.79787,56.2156
1100,0.172,0.90209,55.3439
1100,0.172,1.01762,54.9006
1100,0.172,1.14328,54.8469
1100,0.172,1.27722,55.109
1100,0.172,1.41703,55.6081
1100,0.172,1.55999,56.2822
1100,2.6,0.07382,24.0471
1100,2.6,0.16738,66.0441
1100,2.6,0.27499,84.6413
1100,2.6,0.35885,92.1905
1100,2.6,0.43394,94.3685
1100,2.6,0.50835,94.1502
1100,2.6,0.58796,93.1032
1100,2.6,0.67706,91.9641
1100,2.6,0.77768,91.0014
1100,2.6,0.88921,90.2614
1100,2.6,1.00903,89.7124
1100,2.6,1.13372,89.3071
1100,2.6,1.26057,88.9963
1100,2.6,1.38867,88.7269
1100,2.6,1.51946,88.4399
800,0.172,0.05729,53.6338
800,0.172,0.10191,76.1158
800,0.172,0.202,111.92
800,0.172,0.29881,130.971
800,0.172,0.39242,141.232
800,0.172,0.48435,146.52
800,0.172,0.57766,148.474
800,0.172,0.6773,147.862
800,0.172,0.7898,145.252
800,0.172,0.92204,141.255
800,0.172,1.0794,136.531
800,0.172,1.26407,131.716
800,0.172,1.47406,127.318
1200,0.037,0.02759,9.482
1200,0.037,0.06556,16.591
1200,0.037,0.10744,22.3701
1200,0.037,0.15064,26.7738
1200,0.037,0.19413,29.8871
1200,0.037,0.23753,31.9063
1200,0.037,0.28064,33.075
1200,0.037,0.32336,33.6255
1200,0.037,0.36581,33.7482
1200,0.037,0.4084,33.5852
1200,0.037,0.45196,33.2396
1200,0.037,0.49772,32.7896
1200,0.037,0.54712,32.3
1200,0.037,0.60152,31.8267
1200,0.037,0.66191,31.4158
1200,0.037,0.72873,31.0991
1200,0.037,0.80184,30.8896
1200,0.037,0.88069,30.7818
1200,0.037,0.9647,30.7557
1200,0.037,1.0535,30.7836
1200,0.037,1.14715,30.8382
1200,0.037,1.24606,30.8984
1200,0.037,1.3508,30.9521
1200,0.037,1.46172,30.9947
1200,0.037,1.57864,31.0258
1200,0.172,0.03341,20.6715
1200,0.172,0.07771,32.7385
1200,0.172,0.12588,39.7091
1200,0.172,0.17506,42.938
1200,0.172,0.22414,43.9211
1200,0.172,0.27274,44.0394
1200,0.172,0.3208,44.2394
1200,0.172,0.36867,44.9457
1200,0.172,0.41733,46.1461
1200,0.172,0.46882,47.5634
1200,0.172,0.52645,48.8478
1200,0.172,0.59467,49.7323
1200,0.172,0.67832,50.1149
1200,0.172,0.78141,50.0596
1200,0.172,0.90595,49.7391
1200,0.172,1.0512,49.3561
1200,0.172,1.21363,49.0766
1200,0.172,1.38765,48.9957
1200,0.172,1.56673,49.1357
1200,2.6,0.04821,45.6089
1200,2.6,0.07991,56.2303
1200,2.6,0.15508,63.7511
1200,2.6,0.22745,69.4948
1200,2.6,0.29874,73.0455
1200,2.6,0.3712,74.3305
1200,2.6,0.44812,73.835
1200,2.6,0.53317,72.3233
1200,2.6,0.62901,70.5352
1200,2.6,0.73618,68.9846
1200,2.6,0.85293,67.8944
1200,2.6,0.97605,67.2451
1200,2.6,1.1021,66.8815
1200,2.6,1.22846,66.6216
1200,2.6,1.35398,66.3323
1200,2.6,1.47901,65.9624
850,2.6,0.035,58.1632
850,2.6,0.06958,100.152
850,2.6,0.14506,126.409
850,2.6,0.22018,143.144
850,2.6,0.2934,154.218
850,2.6,0.36471,161.783
850,2.6,0.43436,166.832
850,2.6,0.50244,169.798
850,2.6,0.56895,170.977
850,2.6,0.63378,170.706
850,2.6,0.69694,169.35
850,2.6,0.75862,167.228
850,2.6,0.81945,164.554
850,2.6,0.88071,161.451
850,2.6,0.9446,157.988
850,2.6,1.01429,154.235
850,2.6,1.09369,150.278
850,2.6,1.18691,146.213
850,2.6,1.29734,142.126
850,2.6,1.42688,138.077
850,2.6,1.57535,134.098
850,0.037,0.03943,55.0467
850,0.037,0.08003,67.3069
850,0.037,0.12202,76.2909
850,0.037,0.16496,82.8291
850,0.037,0.20833,87.5549
850,0.037,0.25172,90.987
850,0.037,0.2951,93.4745
850,0.037,0.33925,95.172
850,0.037,0.38626,96.0842
850,0.037,0.43985,96.1551
850,0.037,0.50527,95.3608
850,0.037,0.58851,93.7734
850,0.037,0.69502,91.5784
850,0.037,0.82837,89.0448
850,0.037,0.98911,86.4645
850,0.037,1.17442,84.0873
850,0.037,1.37844,82.0759
850,0.037,1.59331,80.4911
900,0.172,0.04281,18.8064
900,0.172,0.09831,58.5447
900,0.172,0.19577,84.4159
900,0.172,0.29127,100.069
900,0.172,0.38435,108.436
900,0.172,0.47486,112.163
900,0.172,0.56272,113.281
900,0.172,0.64806,112.966
900,0.172,0.73182,111.719
900,0.172,0.81664,109.794
900,0.172,0.90777,107.511
900,0.172,1.01326,105.309
900,0.172,1.14261,103.576
900,0.172,1.30389,102.456
900,0.172,1.50006,101.807
800,2.6,0.05109,115.782
800,2.6,0.10053,156.847
800,2.6,0.19921,175.968
800,2.6,0.29477,188.238
800,2.6,0.38709,195.582
800,2.6,0.47631,199.361
800,2.6,0.56258,200.598
800,2.6,0.64615,199.919
800,2.6,0.72779,197.648
800,2.6,0.80941,194.021
800,2.6,0.89467,189.32
800,2.6,0.98914,183.87
800,2.6,1.09959,177.948
800,2.6,1.23225,171.725
800,2.6,1.39083,165.284
800,2.6,1.5749,158.684
850,0.172,0.04892,66.44
850,0.172,0.10257,112.742
850,0.172,0.20035,118.114
850,0.172,0.29452,122.473
850,0.172,0.38675,124.433
850,0.172,0.47955,123.922
850,0.172,0.57664,121.509
850,0.172,0.6819,117.955
850,0.172,0.79767,113.931
850,0.172,0.92385,109.889
850,0.172,1.05807,106.078
850,0.172,1.19684,102.609
850,0.172,1.33676,99.5306
850,0.172,1.47554,96.8662
900,2.6,0.034,37.8338
900,2.6,0.0685,97.1114
900,2.6,0.14206,122.033
900,2.6,0.21535,134.807
900,2.6,0.28686,143.107
900,2.6,0.35662,149.311
900,2.6,0.42493,153.746
900,2.6,0.4919,156.181
900,2.6,0.55751,156.539
900,2.6,0.62177,155.117
900,2.6,0.68505,152.481
900,2.6,0.7484,149.236
900,2.6,0.81396,145.823
900,2.6,0.88512,142.431
900,2.6,0.96632,139.032
900,2.6,1.06234,135.487
900,2.6,1.1772,131.661
900,2.6,1.31304,127.499
